YEAR,SAMPLE,SERIAL,CBSERIAL,HHWT,CLUSTER,STRATA,GQ,PERNUM,PERWT,NCHILD,SEX,AGE,MARST,RACE,RACED,HISPAN,HISPAND,EDUC,EDUCD,EMPSTAT,EMPSTATD,INCWAGE,VETSTAT,VETSTATD
2023,202301,768,2.02301E+12,7290,2.023E+12,40301,4,1,7290,0,2,21,6,1,100,0,0,7,71,1,10,2000,1,11
2023,202301,1092,2.02301E+12,6966,2.023E+12,120201,4,1,6966,0,2,20,6,1,100,0,0,7,71,1,10,4000,1,11
2023,202301,3198,2.02301E+12,7614,2.023E+12,140301,4,1,7614,0,2,21,6,1,100,0,0,7,71,1,10,5500,1,11
2023,202301,4008,2.023E+12,19440,2.023E+12,150201,1,1,19440,0,2,43,1,1,100,0,0,7,71,1,10,43000,1,11
2023,202301,4008,2.023E+12,19440,2.023E+12,150201,1,2,27702,0,1,51,1,1,100,0,0,8,81,1,10,61000,1,11
2023,202301,4170,2.023E+12,9882,2.023E+12,150201,1,4,19764,0,1,53,2,1,100,0,0,6,63,1,10,55000,1,11
2023,202301,4332,2.023E+12,36450,2.023E+12,260001,1,1,36450,3,2,25,6,1,100,0,0,6,63,1,10,1500,1,11
2023,202301,4494,2.023E+12,11826,2.023E+12,260001,1,2,8100,0,2,59,1,2,200,0,0,6,63,1,10,40000,1,11
2023,202301,4656,2.023E+12,5346,2.023E+12,230001,1,1,5346,0,1,26,1,1,100,0,0,7,71,1,10,50000,2,20
2023,202301,4656,2.023E+12,5346,2.023E+12,230001,1,2,5022,0,2,28,1,1,100,1,100,10,101,1,10,30000,1,11
2023,202301,5628,2.023E+12,15228,2.023E+12,20001,1,2,15066,0,2,18,6,2,200,0,0,6,63,1,10,13100,1,11
2023,202301,6114,2.023E+12,12798,2.023E+12,280201,1,1,12960,0,2,47,4,1,100,0,0,6,65,1,10,30000,1,11
2023,202301,6276,2.023E+12,12312,2.023E+12,200001,1,1,12312,0,2,53,1,1,100,0,0,7,71,1,10,65000,1,11
2023,202301,6276,2.023E+12,12312,2.023E+12,200001,1,2,7938,0,1,52,1,1,100,0,0,8,81,1,10,60000,2,20
2023,202301,6438,2.023E+12,16200,2.023E+12,210101,1,1,16362,0,1,51,1,8,826,0,0,10,101,1,10,102000,1,11
2023,202301,6438,2.023E+12,16200,2.023E+12,210101,1,2,12636,0,2,48,1,1,100,0,0,10,101,1,10,101000,1,11
2023,202301,6762,2.023E+12,1944,2.023E+12,200001,1,1,2106,0,2,46,1,1,100,0,0,2,26,1,10,17400,1,11
2023,202301,6762,2.023E+12,1944,2.023E+12,200001,1,2,1620,0,1,59,1,1,100,0,0,5,50,1,10,78000,1,13
2023,202301,7248,2.023E+12,3888,2.023E+12,230001,1,1,4050,1,2,37,6,2,200,0,0,6,61,1,10,26000,1,11
2023,202301,7410,2.023E+12,8100,2.023E+12,140201,1,3,9882,0,1,52,4,1,100,0,0,6,63,1,10,14400,1,11
2023,202301,7572,2.023E+12,13284,2.023E+12,140201,1,2,12312,1,2,61,1,1,100,0,0,7,71,1,10,125000,1,11
2023,202301,7572,2.023E+12,13284,2.023E+12,140201,1,3,7128,0,2,21,6,1,100,0,0,6,63,1,10,29000,1,11
2023,202301,7734,2.023E+12,13284,2.023E+12,230001,1,1,13284,2,1,45,1,1,100,0,0,7,71,1,10,31000,1,11
2023,202301,7734,2.023E+12,13284,2.023E+12,230001,1,2,20250,2,2,35,1,1,100,0,0,7,71,1,10,40000,1,11
2023,202301,7896,2.023E+12,13932,2.023E+12,40301,1,1,13932,0,2,50,1,1,100,0,0,10,101,1,10,126000,1,11
